Type,ID,IG Link,Length,Views,Likes,Comments,Date Posted
Teaser,#1,https://www.instagram.com/p/Cr3QLG-New3/ ,8 seconds,148113,1517,70,5-May-2023
Manifesto Content,#2,https://www.instagram.com/p/CsBTqMYtiaH/,51 seconds,841964,4397,327,9-May-2023
Short Films,#3,https://www.instagram.com/p/CsYyazkt-fY/,28 seconds,137373,1090,486,18-May-2023
Short Films,#4,https://www.instagram.comp/Csa7UuusOuE/,25 seconds,171801,785,162,19-May-2023
Short Films,#5,https://www.instagram.com/p/CsduCe9sJwm/,29 seconds,423542,2261,472,20-May-2023
Short Films,#6,https://www.instagram.com/p/CsduCe9sJwm/,26 seconds,78724,473,33,21-May-2023
Social Content,#7,https://www.instagram.com/p/CsLsRyEMrK9/,15 seconds,120708,652,10,13-May-2023
Social Content,#8,https://www.instagram.com/p/CslxF33sW8F/,8 seconds,662497,2273,89,23-May-2023
Social Content,#9,https://www.instagram.com/p/Css8RZctuOJ/,10 seconds,71027,5732,11,26-May-2023
Social Content,#10,https://www.instagram.com/p/Cs1CO5QtkSx/,8 seconds,99860,792,22,29-May-2023
Social Content,#11,https://www.instagram.com/p/Cs6I2OwtL6k/,9 seconds,115957,9751,33,31-May-2023
Social Content,#12,https://www.instagram.com/p/Cs-91iJtyjb/,8 seconds,148114,1517,70,5-May-2023
Social Content,#13,https://www.instagram.com/p/CtMMLaJNtc1/,14 seconds,108589,3335,16,7-Jun-2023
Social Content,#14,https://www.instagram.com/p/CtOamsbtWge/,gif,113456,966,49,8-Jun-2023
Social Content,#15,https://www.instagram.com/p/CtQ_ZektuKn/,gif,648142,2413,63,9-Jun-2023
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,, 